zipcode,mediansalary,Pop
4061,60288,"2,665"
4062,57302,"14,901"
4063,31529,399
4064,40589,"8,455"
4066,66055,691
4068,40694,"1,442"
4069,65117,"1,435"
4071,63873,"4,729"
4072,42759,"12,787"
4073,43224,"16,015"
4074,77285,"16,813"
4076,51227,"2,322"
4079,63939,"4,065"
4083,44589,"4,713"
4084,70905,"7,754"
4085,55429,"1,530"
4086,63864,"9,097"
4087,60288,"1,710"
4088,45086,"1,417"
4090,63243,"9,397"
4091,52059,759
4092,46303,"16,124"
4093,55999,"7,451"
4095,51217,"1,129"
4096,77652,"8,357"
4097,70858,"3,268"
4101,28472,"17,296"
4102,50475,"16,875"
4103,55954,"29,092"
4105,88841,"10,276"
4106,51529,"23,437"
4107,81192,"9,083"
4108,58429,843
4109,58429,82
4110,85168,"1,210"
4210,42117,"23,191"
4217,38631,"2,854"
4219,43994,"1,469"
4220,45756,"2,584"
4221,41350,"1,220"
4222,74952,"3,378"
4224,41466,"2,960"
4227,41401,81
4228,32677,15
4231,44549,260
4234,31406,136
4236,56719,"4,078"
4237,39861,251
4238,48258,"1,054"
4239,40208,"4,980"
4240,37562,"35,686"
4250,42531,"4,037"
4252,45635,"5,045"
4253,41833,"2,106"
4254,32677,"3,213"
4255,44549,783
4256,57461,"3,154"
4257,33194,"2,959"
4258,57465,"2,250"
4259,50327,"2,969"
4260,65117,"4,816"
4263,51429,"2,002"
4265,50461,861
4267,45086,29
4268,38853,"4,613"
4270,43171,"5,520"
4271,37342,53
4274,56585,"4,854"
4275,33194,504
4276,31579,"6,472"
4280,51911,"5,803"
4281,37342,"4,737"
4282,61949,"4,972"
4284,54239,"1,078"
4285,41923,417
4286,39861,33
4287,63192,"2,843"
4289,41071,"1,731"
4290,40750,"1,510"
4292,40750,858
4294,31670,"4,074"
4330,32081,"19,887"
4342,43799,"1,624"
4343,58066,42
4344,51168,"2,794"
4345,50261,"11,505"
4346,49682,"1,910"
4347,59500,"2,451"
4349,54204,"1,056"
4350,61100,"3,081"
4351,61472,"2,464"
4352,51583,"1,521"
4354,50893,"1,221"
4355,62935,"2,354"
4357,55917,"3,284"
4358,53673,"4,052"
4359,55217,210
4360,51583,517
4363,44747,"2,206"
4364,58066,"6,167"
4401,44997,"41,557"
4406,28902,717
4408,44615,178
4410,42664,"1,186"
4411,45369,"1,243"
4412,49913,"8,982"
4413,31898,195
4414,34718,"1,186"
4415,33696,293
4416,49035,"5,447"
4417,37226,365
4418,41148,"1,660"
4419,48530,"2,415"
4421,47431,"1,342"
4422,47250,"1,399"
4424,32989,836
4426,41447,"4,698"
4427,47250,"2,491"
4428,49503,"2,795"
4429,53791,"4,216"
4430,34041,"1,841"
4431,46143,52
4434,48852,"1,012"
4435,41490,996
4438,44347,"1,040"
4441,40821,"1,798"
4442,40809,82
4443,30331,"2,492"
4444,80066,"7,727"
4448,32758,"1,516"
4449,42664,"1,343"
4450,57280,"1,190"
4451,28899,311
4453,39225,816
4454,31898,96
4455,37226,846
4456,52302,"2,171"
4457,32548,"6,061"
4459,26576,918
4460,41401,"1,565"
4461,45369,"2,949"
4462,35908,"5,559"
4463,31016,"2,868"
4464,29724,690
4468,34495,"9,658"
4469,27663,"2,011"
4471,36306,556
4472,46143,"2,076"
4473,37175,"7,103"
4474,68135,"3,526"
4475,42045,509
4476,47431,"1,341"
4478,33194,296
4479,31206,"1,270"
4481,31005,563
4485,29708,183
4487,25492,881
4488,48852,980
4489,41458,201
4490,31898,254
4491,31898,147
4492,31898,173
4493,44092,"1,907"
4495,37226,420
4496,50596,"3,603"
4497,34942,452
4530,45563,"11,539"
4535,55809,676
4537,51374,"1,875"
4538,46250,"2,226"
4539,52873,"1,014"
4541,52873,92
4543,47692,"2,048"
4544,51390,760
4547,47727,"1,204"
4548,55645,"1,019"
4551,52873,782
4553,55809,"1,742"
4554,52873,745
4555,47692,"1,607"
4556,55809,"1,089"
4558,52873,265
4562,53617,"2,102"
4563,47727,"1,342"
4564,52873,534
4568,52019,509
4570,46250,3
4571,51390,329
4572,42201,"4,915"
4573,52019,387
4574,50409,"1,328"
4575,46250,105
4576,46250,681
4578,43799,"4,350"
4579,55645,"2,811"
4605,49144,"11,211"
4606,37604,"1,214"
4607,44532,"1,220"
4609,64057,"4,800"
4611,37332,618
4612,39300,590
4613,44531,202
4614,47008,"2,281"
4616,44434,842
4617,44434,799
4619,31215,"3,445"
4622,33452,"1,295"
4623,37570,"1,046"
4624,44531,331
4625,35438,54
4626,30978,623
4627,40000,"1,487"
4628,35614,707
4629,47008,110
4630,39058,"1,314"
4631,30600,"1,638"
4634,43550,"1,754"
4635,39300,38
4637,31898,191
4640,48344,"1,970"
4642,44434,105
4643,37604,919
4644,64057,9
4645,46141,79
4646,35438,75
4648,37332,579
4649,37332,"1,407"
4650,40000,268
4652,31038,"2,011"
4653,39300,533
4654,34699,"3,525"
4655,39083,"1,160"
4657,37015,330
4658,33186,"1,277"
4660,54464,"1,261"
4662,54464,514
4664,43253,"1,187"
4666,37015,"1,201"
4667,31185,"1,489"
4668,38441,"1,721"
4669,44531,200
4671,31185,528
4673,44434,93
4674,39300,404
4675,54464,321
4676,44446,"1,015"
4677,43250,289
4679,35476,"1,969"
4680,33186,"1,127"
4681,40000,"1,151"
4683,40000,116
4684,47008,"1,358"
4685,39300,328
4686,31898,116
4691,37015,403
4693,44531,984
4694,44525,"2,582"
4730,33192,"10,045"
4732,35849,"1,863"
4733,36063,253
4734,36605,863
4735,34755,618
4736,40233,"10,145"
4739,34183,"1,040"
4740,34944,"1,249"
4741,34119,4
4742,34944,"3,582"
4743,38732,"4,803"
4745,41148,"1,219"
4746,30475,521
4747,37230,"1,282"
4750,32583,"2,675"
4756,34302,"3,688"
4757,47621,"2,823"
4758,36736,"1,477"
4760,34755,788
4761,36284,529
4762,36667,622
4763,36284,717
4764,34755,56
4765,33419,"1,407"
4766,35676,434
4768,35852,395
4769,36799,"9,501"
4772,40971,836
4773,34324,848
4774,34119,857
4776,37129,"1,056"
4777,33375,430
4779,36667,362
4780,36684,795
4781,34119,582
4783,36667,476
4785,31293,"3,028"
4786,35676,"1,877"
4787,36736,559
4841,30461,"7,607"
4843,44251,"5,256"
4847,50409,"1,310"
4848,48538,600
4849,48538,"3,373"
4851,46141,51
4852,52873,75
4853,46141,380
4854,48707,"1,601"
4855,39777,331
4856,69554,"3,206"
4858,48707,"1,373"
4859,40295,724
